IP,Fila
10.50.242.11,IMP_094_SMT_REL_01
10.50.242.12,IMP_094_DQS_ETQ_02
10.50.242.13,IMP_094_DQS_ETQ_03
10.50.242.14,IMP_094_DQS_ETQ1
10.50.242.15,IMP_094_DQS_ETQ_04
10.50.242.16,IMP_094_EXP_ETQ_01
10.50.242.17,IMP_094_EXP_ETQ_02
10.50.242.18,IMP_094_EXP_ETQ3
10.50.242.19,IMP_094_EXP_REL_01
10.50.242.20,IMP_094_EXP_REL_02
10.50.242.21,IMP_094_EXP_REL_03
10.50.242.22,IMP_094_FAT_NF1
10.50.242.23,IMP_094_FAT_NF2
10.50.242.24,IMP_094_FAT_REL_01
10.50.242.25,IMP_094_FAT_NF3
10.50.242.25,IMP_094_FAT_REL_03
10.50.242.26,IMP_094_FAT_NF4
10.50.242.26,IMP_094_FAT_REL_04
10.50.242.27,IMP_094_LOG_ETQ_01
10.50.242.28,IMP_094_LOG_REL_01
10.50.242.29,IMP_094_QLT_REL_01
10.50.242.30,IMP_094_REC_ETQ_01
10.50.242.31,IMP_094_REC_ETQ_02
10.50.242.32,IMP_094_REC_ETQ_03
10.50.242.33,IMP_094_REC_ETQ_04
10.50.242.34,IMP_094_ADM_REL_01
10.50.242.35,IMP_094_REC_REL_02
10.50.242.35,IMP_094_REC_NF2
10.50.242.36,IMP_094_TI_ETQ_01
10.50.242.37,IMP_094_NFE_REL_01
10.50.242.37,IMP_094_NFE_NF1
10.50.242.37,IMP_094_NFE_PRES1
10.50.242.38,IMP_094_NFE_ETQ1
10.50.242.39,IMP_094_EST01_REL_01
10.50.242.39,IMP_094_EST01_NF1
10.50.242.39,IMP_094_EST01_PRES1
10.50.242.40,IMP_094_EST01_ETQ1
10.50.242.41,IMP_094_EST02_REL_01
10.50.242.41,IMP_094_EST02_NF1
10.50.242.41,IMP_094_EST02_PRES1
10.50.242.42,IMP_094_EST02_ETQ1
10.50.242.43,IMP_094_EST03_REL_01
10.50.242.43,IMP_094_EST03_NF1
10.50.242.43,IMP_094_EST03_PRES1
10.50.242.44,IMP_094_EST03_ETQ1
10.50.242.45,IMP_094_EST04_REL_01
10.50.242.45,IMP_094_EST04_NF1
10.50.242.45,IMP_094_EST04_PRES1
10.50.242.46,IMP_094_EST04_ETQ1
10.50.242.47,IMP_094_REC_REL_01
10.50.242.48,IMP_094_DQS_REL_02
10.50.242.49,N?o utilizar (REP)
10.50.242.50,N?o utilizar (REP)
10.50.242.51,N?o utilizar (REP)
10.50.242.52,N?o utilizar (REP)
10.50.242.53,N?o utilizar (REP)
10.50.242.54,IMP_094_SEG_REL_01
10.50.242.55,IMP_093_FAT_NF1
10.50.242.55,IMP_094_DQS_REL_01
10.50.242.56,N?o utilizar (nobreaks)
10.50.242.57,N?o utilizar (nobreaks)
10.50.242.58,N?o utilizar (nobreaks)
10.50.242.59,IMP_094_TRA_REL_01
10.50.242.60,IMP_094_TRA_REL_02
10.50.242.61,IMP_094_CFR_ETQ_01
10.50.242.62,IMP_094_CFR_ETQ_02
10.50.242.63,IMP_094_EST05_REL_01
10.50.242.63,IMP_094_EST05_NF1
10.50.242.63,IMP_094_EST05_PRES1
10.50.242.64,IMP_094_EST05_ETQ1
10.50.242.65,IMP_094_EST06_REL_01
10.50.242.65,IMP_094_EST06_NF1
10.50.242.65,IMP_094_EST06_PRES1
10.50.242.66,IMP_094_EST06_ETQ1
10.50.242.67,IMP_094_EST07_REL_01
10.50.242.67,IMP_094_EST07_NF1
10.50.242.67,IMP_094_EST07_PRES1
10.50.242.68,IMP_094_EST07_ETQ1
10.50.242.69,IMP_094_EST08_REL_01
10.50.242.69,IMP_094_EST08_NF1
10.50.242.69,IMP_094_EST08_PRES1
10.50.242.70,IMP_094_EST08_ETQ1
10.50.242.71,IMP_094_EST09_REL_01
10.50.242.71,IMP_094_EST09_NF1
10.50.242.71,IMP_094_EST09_PRES1
10.50.242.72,IMP_094_EST09_ETQ1
10.50.242.73,IMP_094_EST10_REL_01
10.50.242.73,IMP_094_EST10_NF1
10.50.242.73,IMP_094_EST10_PRES1
10.50.242.74,IMP_094_EST10_ETQ1
10.50.242.75,IMP_094_DQS_REL_03
10.50.242.76,IMP_094_DQS_ETQ_05
10.50.242.77,IMP_094_SEG_REL_02
10.50.242.78,IMP_094_DQS_ETQ_06
10.50.242.79,IMP_094_DQS_ETQ_07
10.50.242.80,IMP_094_DQS_ETQ_08
10.50.242.81,IMP_094_DQS_ETQ_09
10.50.242.82,IMP_094_DQS_ETQ_10
